#,Name,G,PA,AB,R,H,B,1B,2B,3B,HR,RBI,AVG,BB,SO,HBP,SB,CS,SCB,SF,SAC,OBP,SLG,ROE,FC,GDP,GTP,OPS,OPS+,wOBA?,wRC+?,team
44,Jakub Jakiel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,125,0.739,181,BAR
33,Kacper Frydlewicz,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,125,0.685,168,BAR
35,Yaroslav Kluienko,2,5,4,0,2,0,2,0,0,0,2,0.5,1,0,0,0,0,0,0,0,0.6,0.5,0,0,0,0,1.1,138,0.541,133,BAR
21,Cezary Pietka,4,6,3,0,1,0,1,0,0,0,1,0.333,3,1,0,0,0,0,0,0,0.667,0.333,0,0,0,0,1,125,0.511,125,BAR
12,Piotr Pludowski,12,42,40,9,16,0,12,3,1,0,3,0.4,2,6,0,0,0,0,0,0,0.429,0.525,4,0,0,0,0.954,119,0.487,119,BAR
24,Abel Jefte Medina,12,42,38,7,15,0,14,0,0,1,10,0.395,3,4,1,0,0,0,0,0,0.452,0.474,3,4,1,0,0.926,116,0.469,115,BAR
11,Marcin Musialek,10,26,15,3,4,0,4,0,0,0,2,0.267,10,5,0,2,0,0,1,1,0.538,0.267,0,1,0,0,0.805,101,0.419,103,BAR
27,Lukasz Krzemienowski,11,31,24,9,6,0,4,1,0,1,3,0.25,5,6,1,2,0,0,1,1,0.387,0.417,2,1,0,0,0.804,101,0.405,99,BAR
6,Cezary Hryniowski,12,45,39,8,11,0,8,3,0,0,3,0.282,5,4,0,3,0,0,1,1,0.356,0.359,1,4,2,0,0.715,89,0.362,89,BAR
40,Maksymilian Onyx,3,9,6,1,1,0,1,0,0,0,0,0.167,3,2,0,0,0,0,0,0,0.444,0.167,0,0,0,0,0.611,76,0.341,84,BAR
37,Mateusz Biernacki,11,29,23,1,6,0,5,1,0,0,2,0.261,3,2,1,0,0,1,1,2,0.357,0.304,1,3,1,0,0.661,83,0.337,83,BAR
14,Pawel Lakomy,13,44,36,6,8,0,5,3,0,0,7,0.222,6,9,1,0,0,0,1,1,0.341,0.306,3,1,0,0,0.647,81,0.334,82,BAR
3,Anton Pryputnevich,14,50,41,7,9,0,8,0,1,0,5,0.22,8,9,0,0,0,0,1,1,0.34,0.268,4,1,2,0,0.608,76,0.315,77,BAR
63,Franciszek Filozof,7,10,6,3,1,0,1,0,0,0,2,0.167,2,5,1,1,0,0,1,1,0.4,0.167,0,0,0,0,0.567,71,0.312,76,BAR
17,Robert Roggenbuck,16,50,39,4,7,0,5,2,0,0,6,0.179,8,12,2,0,0,0,1,1,0.34,0.231,1,2,1,0,0.571,71,0.304,75,BAR
1,Philip Coleman,8,19,15,3,3,0,3,0,0,0,2,0.2,4,5,0,0,0,0,0,0,0.368,0.2,0,0,0,0,0.568,71,0.304,75,BAR
4,Marcin Borowski,10,19,15,2,3,0,3,0,0,0,1,0.2,1,5,2,1,1,1,0,1,0.333,0.2,0,1,0,0,0.533,67,0.289,71,BAR
86,Kacper Wasko,7,9,7,1,1,0,1,0,0,0,1,0.143,1,3,1,0,0,0,0,0,0.333,0.143,0,0,0,0,0.476,60,0.271,66,BAR
34,Illia Sheremeta,15,39,30,4,3,0,3,0,0,0,0,0.1,6,10,1,2,1,2,0,2,0.27,0.1,3,1,0,0,0.37,46,0.213,52,BAR
8,Lukasz Tur,4,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,BAR
71,Tomasz Piwonski,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAR
99,Taerang Shin,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAR
64,Marek Koziol,9,11,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,BAR
7,Adam Madalinski,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAR
31,Michal Laczny,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAR
51,Mateusz Szustek,3,5,1,2,1,0,1,0,0,0,1,1,4,0,0,2,0,0,0,0,1,1,0,0,0,0,2,250,0.75,184,CEN
15,Hubert Zgorzynski,16,60,44,13,15,0,11,2,2,0,5,0.341,11,9,4,7,1,1,0,1,0.508,0.477,3,2,0,0,0.985,123,0.494,121,CEN
