#,Name,G,W,L,SV,ST,CMP,IP,BF,PIT,R,RA7,RA,ER,ERA7,ERA,K,H,BB,K/BB,K/7,BB/7,H/7,K/9,BB/9,H/9,HB,BK,WP,HR,OBP,WHIP,FIP,ERA+,RA+,team
8,Lukasz Tur,2,0,0,0,0,0,3.333,13,13,0,0,0,0,0,0,0,2,0,#DIV/0!,0,0,4.2,0,0,5.401,1,0,0,0,0.231,0.6,4.26,999,999,BAR
11,Marcin Musialek,7,2,1,0,4,3,29.333,129,352,18,4.3,5.52,16,3.82,4.91,15,34,4,3.75,3.58,0.955,8.114,4.602,1.227,10.432,3,1,3,0,0.318,1.295,3.65,134,152,BAR
27,Lukasz Krzemienowski,5,1,4,0,4,3,28.333,152,467,26,6.42,8.26,20,4.94,6.35,39,43,19,2.053,9.635,4.694,10.624,12.388,6.035,13.659,3,2,5,1,0.428,2.188,3.98,104,102,BAR
86,Kacper Wasko,4,0,4,0,4,1,14.667,76,183,17,8.11,10.43,17,8.11,10.43,15,16,11,1.364,7.159,5.25,7.636,9.204,6.75,9.818,6,0,2,0,0.434,1.841,4.47,63,81,BAR
1,Philip Coleman,4,1,2,0,2,1,13.667,69,193,17,8.71,11.19,10,5.12,6.59,9,20,6,1.5,4.61,3.073,10.244,5.927,3.951,13.17,0,0,1,0,0.377,1.902,4.26,100,75,BAR
35,Yaroslav Kluienko,1,0,0,0,1,0,4,25,85,8,14,18,7,12.25,15.75,3,8,4,0.75,5.25,7,14,6.75,9,18,0,0,1,1,0.48,3,9.01,42,47,BAR
3,Anton Pryputnevich,2,0,1,0,1,0,5,29,55,10,14,18,10,14,18,7,10,4,1.75,9.8,5.6,14,12.6,7.2,18,1,0,0,0,0.517,2.8,3.86,37,47,BAR
4,Marcin Borowski,2,0,0,0,0,0,5,35,62,15,21,27,11,15.4,19.8,6,14,5,1.2,8.4,7,19.6,10.8,9,25.2,0,0,1,1,0.543,3.8,7.46,33,31,BAR
51,Mateusz Szustek,7,4,2,1,6,3,38.333,176,624,21,3.83,4.93,16,2.92,3.76,48,28,22,2.182,8.765,4.017,5.113,11.27,5.165,6.574,10,0,5,1,0.341,1.304,3.82,176,171,CEN
48,Jan Pruszynski,1,0,1,0,1,0,3.333,23,107,3,6.3,8.1,3,6.3,8.1,3,5,9,0.333,6.301,18.902,10.501,8.101,24.302,13.501,2,0,0,0,0.696,4.2,10.56,81,104,CEN
57,Tadeusz Romanowski,12,2,5,1,8,1,48.333,242,731,45,6.52,8.38,36,5.21,6.7,38,58,37,1.027,5.503,5.359,8.4,7.076,6.89,10.8,5,1,8,2,0.413,1.966,5.52,98,100,CEN
17,Hubert Szczeszka,7,1,2,0,2,0,22.333,132,418,25,7.84,10.07,16,5.02,6.45,24,30,29,0.828,7.523,9.09,9.403,9.672,11.687,12.09,9,0,7,0,0.515,2.642,6.01,102,84,CEN
25,Haruki Milewski,2,0,1,0,2,0,6.667,38,133,9,9.45,12.15,9,9.45,12.15,6,8,6,1,6.3,6.3,8.4,8.1,8.1,10.799,3,0,1,0,0.447,2.1,5.16,54,69,CEN
44,Piotr Mikolajczyk,7,1,1,0,1,0,10.667,63,235,18,11.81,15.19,17,11.16,14.34,11,15,11,1,7.219,7.219,9.843,9.281,9.281,12.656,5,0,2,2,0.492,2.437,7.73,46,55,CEN
11,Adrian Pawelec,3,0,0,2,0,0,2.667,17,52,5,13.12,16.87,5,13.12,16.87,1,2,6,0.167,2.625,15.748,5.249,3.375,20.247,6.749,1,0,3,0,0.529,3,10.26,39,50,CEN
53,Patryk Wezgowiec,1,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,2,1,0,0,7,14,0,9,18,0,0,0,0,0.75,3,7.26,999,999,GEP
89,Konrad Wisniewski,1,0,0,0,1,0,2,9,48,1,3.5,4.5,1,3.5,4.5,2,1,3,0.667,7,10.5,3.5,9,13.5,4.5,0,0,1,0,0.444,2,6.76,147,187,GEP
9,Maksymilian Serwotka,7,2,4,0,6,6,37,211,689,51,9.65,12.41,40,7.57,9.73,33,77,26,1.269,6.243,4.919,14.568,8.027,6.324,18.73,4,0,3,1,0.507,2.784,4.94,68,68,GEP
3,Marcin Padol,3,0,1,0,1,0,4.333,21,74,3,4.85,6.23,3,4.85,6.23,2,5,1,2,3.231,1.616,8.078,4.154,2.077,10.385,1,0,2,1,0.333,1.385,7.03,106,135,GEP
22,Tymoteusz Orszulik,5,0,4,0,3,3,26,128,430,26,7,9,18,4.85,6.23,25,30,13,1.923,6.731,3.5,8.077,8.654,4.5,10.385,8,0,2,0,0.398,1.654,3.84,106,94,GEP
50,Kacper Blacha,2,1,1,0,2,2,12.667,62,197,13,7.18,9.24,11,6.08,7.82,4,18,5,0.8,2.21,2.763,9.947,2.842,3.553,12.789,0,0,0,3,0.371,1.816,7.89,84,91,GEP
